date,link,text
2019-05-23 09:30,https://newyork.craigslist.org/brk/egr/d/brooklyn-autocad-drafter-brooklyn-ny/6895449421.html,"AutoCAD Drafter (Brooklyn, NY)"
2019-05-22 23:29,https://newyork.craigslist.org/brk/egr/d/project-coordinator/6895315222.html,Project Coordinator
2019-05-22 23:20,https://newyork.craigslist.org/brk/egr/d/brooklyn-construction-engineer-project/6895312442.html,Construction Engineer / Project Manager
2019-05-22 17:31,https://newyork.craigslist.org/brk/egr/d/brooklyn-surveyor-cad-drafter/6895112546.html,Surveyor /Cad Drafter
2019-05-22 16:11,https://newyork.craigslist.org/mnh/egr/d/brooklyn-maintenance-engineer/6895045552.html,Maintenance Engineer
2019-05-22 11:01,https://newyork.craigslist.org/jsy/egr/d/hoboken-cad-revit-bim-specialist-trainer/6894743291.html,CAD / Revit BIM Specialist / Trainer
2019-05-21 19:17,https://newyork.craigslist.org/mnh/egr/d/bronx-bridge-inspection-team-leader/6894394069.html,Bridge Inspection - Team Leader
2019-05-21 19:10,https://newyork.craigslist.org/mnh/egr/d/bronx-bridge-inspection-assistant-team/6894388876.html,Bridge Inspection - Assistant Team Leader
2019-05-21 18:54,https://newyork.craigslist.org/brx/egr/d/bronx-bridge-inspection-assistant-team/6894378224.html,Bridge Inspection - Assistant Team Leader
2019-05-21 18:53,https://newyork.craigslist.org/brx/egr/d/bronx-bridge-inspection-team-leader/6894377141.html,Bridge Inspection - Team Leader
2019-05-21 10:40,https://newyork.craigslist.org/brk/egr/d/brooklyn-draftsperson-designer/6893914890.html,Draftsperson/Designer
2019-05-21 09:39,https://newyork.craigslist.org/mnh/egr/d/new-york-city-architectural-project/6893864683.html,Architectural Project Manager
2019-05-21 09:29,https://newyork.craigslist.org/mnh/egr/d/freelance-intermediate-architects-revit/6893856888.html,Freelance INTERMEDIATE Architects (REVIT)
2019-05-21 08:50,https://newyork.craigslist.org/wch/egr/d/beacon-survey-cad-technician/6893832599.html,Survey CAD Technician
2019-05-21 08:48,https://newyork.craigslist.org/wch/egr/d/beacon-survey-crew-chief/6893832026.html,Survey Crew Chief
2019-05-21 08:46,https://newyork.craigslist.org/fct/egr/d/architect-junior-architect/6893831021.html,Architect / Junior Architect
2019-05-20 13:50,https://newyork.craigslist.org/mnh/egr/d/new-york-city-senior-architectural/6893287037.html,Senior Architectural Associate AZARK
2019-05-20 13:35,https://newyork.craigslist.org/mnh/egr/d/new-york-city-designer-revit/6893271003.html,Designer - Revit
2019-05-19 18:48,https://newyork.craigslist.org/que/egr/d/college-point-jr-project-manager-shop/6892761622.html,Jr Project Manager / Shop Drawing Producer experienced in misc steel
2019-05-17 22:51,https://newyork.craigslist.org/wch/egr/d/new-york-city-jr-architect/6891541562.html,JR ARCHITECT
2019-05-17 16:44,https://newyork.craigslist.org/mnh/egr/d/new-york-city-engineers-architects/6891311670.html,Engineers & Architects
2019-05-17 13:11,https://newyork.craigslist.org/brk/egr/d/brooklyn-full-time-plumbing-sprinkler/6891103239.html,FULL TIME PLUMBING/ SPRINKLER ENGINEER CAD/ REVIT BROOKLYN
2019-05-17 13:02,https://newyork.craigslist.org/que/egr/d/long-island-city-construction/6891093475.html,CONSTRUCTION SUPERINTENDENT
2019-05-17 11:56,https://newyork.craigslist.org/mnh/egr/d/new-york-city-intermediate-project/6891025962.html,INTERMEDIATE PROJECT ARCHITECT
2019-05-17 11:11,https://newyork.craigslist.org/mnh/egr/d/new-york-city-residential-construction/6890980753.html,Residential Construction Project Manager - Townhouse/Luxury High End
2019-05-17 11:11,https://newyork.craigslist.org/mnh/egr/d/new-york-city-hospitality-construction/6890980094.html,Hospitality Construction Project Manager - Hotel/Restaurants
2019-05-16 18:00,https://newyork.craigslist.org/que/egr/d/middle-village-project-manager-plumbing/6890580944.html,Project Manager- Plumbing
2019-05-16 15:34,https://newyork.craigslist.org/que/egr/d/college-point-jr-project-manager-misc/6890459444.html,JR project manager/Misc Steel draft person apprentice with experience
2019-05-16 14:01,https://newyork.craigslist.org/que/egr/d/mechanical-plumbing-electrical/6890370733.html,Mechanical/Plumbing/Electrical Engineers and Internship
